given_names,family_name,orcid,country,taxa
Nuria,Agusti,0000-0002-5908-4873,Spain,"Anthocoridae, Bemisia tabaci, Bostrichidae, Cacopsylla pyricola, Coleoptera, Collembola, Dicyphus tamaninii, Diptera, Helicoverpa armigera, Hemiptera, Heteroptera, Hexapoda, Lepidoptera, Lygus hesperus, Macrolophus, Macrolophus melanotoma, Macrolophus pygmaeus, Miridae, Noctuidae, Orius, Psyllidae, Rhyzopertha dominica, Syrphidae, Trialeurodes vaporariorum"
Zubair,Ahmad,0000-0002-5286-026X,Saudi Arabia,""
Wasim,Ahmad,0000-0002-8545-4997,,"Actinolaimidae, Aporcedorus filicaudatus, Aporcelaimellus, Aporcelaimidae, Araeolaimida, Aulolaimoididae, Axonchium, Axonchium (Axonchium), Bacillus thuringiensis, Belondiridae, Belondiroidea, Caveonchus, Coomansinema, Cricodorylaimus, Discomyctus longicaudatus, Dorylaimellus, Dorylaimida, Dorylaimidae, Dorylaimoidea, Enchodelus, Epidorylaimus, Epidorylaimus monhystera, Helicoverpa armigera, Heterorhabditis indica, Indicus, Iotonchus, Labronema, Leptonchidae, Loofilaimus, Lordellonema, Lordellonematinae, Margollus, Mesodorylaimus, Mononchida, Mononchoides, Mydonomidae, Mylonchulus, Nematoda, Nitidum, Nordiidae, Nygolaimidae, Nygolaimina, Oriverutus, Pakmylonchulus, Paramylonchulus, Paratimminema, Phallaxonchium, Plectinae, Proleptonchus, Punctatus, Qudsianematidae, Qudsiella, Roqueus, Scleroactinolaimus, Silvallis sclerostoma, Sphaeroamphis, Steinernema abbasi, Steinernema masoodi, Steinernematidae, Swangeria, Syncheilaxonchium, Tantunema, Thornenematidae, Thorniinae, Tylencholaimellus, Tylencholaimidae, Tylencholaimoidea, Tylencholaimus"
Faraham,Ahmadzadeh,0000-0001-7152-8484,Iran (Islamic Republic of),"Ablepharus kitaibelii, Agama, Agamidae, Amphibia, Apathya, Aquila chrysaetos, Asaccus, Aves, Caudata, Cyrtopodion, Darevskia, Eremias papenfussi, Falconiformes, Gekkonidae, Lacertidae, Laudakia caucasia, Mesalina, Natrix natrix, Neurergus derjugini derjugini, Pristurus, Pristurus rupestris, Rafetus euphraticus, Reptilia, Salamandridae, Sauria, Scincidae, Squamata, Tropiocolotes"
Harald,Ahnelt,0000-0002-5863-6998,,""
Milla Karoliina,Ahola,0000-0002-9901-7923,Finland,"Lepidoptera, Rhithropanopeus harrisii"
Shane,Ahyong,0000-0002-2820-4158,,"(Linnaeus, Acanthopyge (Lobopyge), Alima orientalis, Alpheidae, Alvinocarididae, Amphipoda, Ampithoidae, Anaspides, Anaspidesidae, Anaspididae, Anomura, Aotearoa, Aphanodactylidae, Astacidea, Athanopsis, Athanopsis australis, Brachyura, Calanidae, Carcinus maenas, Caridea, Carinosquilla thailandensis, Cassiopea, Cassiopeidae, Cherax quadricarinatus von, Chirostylidae, Chirostyloidea, Clorida albolitura, Cloridina pelamidae, Cnidaria, Copepoda, Crambidae, Crustacea, Cymonomidae, Cymonomus, Decapoda, Durckheimia, Durckheimia lochi, Epialtidae, Eurysquilla, Eurysquilloidea, Galatheidae, Galatheoidea, Glypheoidea, Gonodactyloidea, Hippolytidae, Holotheres, Hyastenus, Hyastenus baru, Insecta, Lebbeus, Lepidoptera, Lithodes, Lysiosquilloidea, Majidae, Majoidea, Malacostraca, Marsupialia, Mathildella, Mathildellidae, Metacrangon, Miyakea, Miyakella, Munidopsidae, Munidopsis, Munidopsis serricornis, Neclorida, Neoanchisquilla, Neoglyphea inopinata, Neopilumnoplax, Nephropidae, Oratosquilla septemdentata, Oratosquillina manningi, PELAMIDAE, Paranaspides, Parastacidae, Parastacoidea, Pinnotheridae, Pinnotheroidea, Podotremata, Polychaeta, Protosquillidae, Pseudozioidea, Pyromaia tuberculata, Raysquilla manningi, Reptantia, Rhizostomeae, Sabella spallanzanii, Sabellidae, Scyphozoa, Squillidae, Squilloidea, Stomatopoda, Syncarida, Thaumastocheles, Thaumastochelidae, Thoridae, Thymops takedai, Trapeziidae, Trapezioidea, Uroptychus, Viridotheres, Xanthasia"
Jonathan,Aitchison,0000-0002-3659-5849,Australia,"Busuanga, Donnees cinematiques, Himalaya, Ichthyosauria, Mixosauridae, Ophiolites, Peraluminous, Phalarodon atavus, Poya, Radiolaria, Reptilia, Sauropterygia"
Muntasir,Akash,0000-0002-3999-2882,Bangladesh,"(Austruca) bengali, Araneae, Araneomorphae, Aungtonya, Brachyura, Calappa bilineata, Calappidae, Glyphis gangeticus, Nijhum dwip, Ocypodidae, Olios lamarcki, Sparassidae, Uca (Austruca) bengali"
Lilia,Akhmetova,0000-0002-2151-1278,,"Aegidiellus, Aegidium, Coleoptera, Cornitermes, Hybosoridae, Hybosorinae, Isoptera, Orphninae, Paraegidium, Scarabaeidae, Scarabaeoidea, Termitidae"
Pitra,Akhriadi,0000-0003-2966-6191,,"Nepenthaceae, Nepenthes naga, Rafflesia"
Andrey,Aksenov,0000-0003-1013-1357,Russian Federation,"Gastropoda, Lymnaeidae, Margaritifera margaritifera, Penicillium verruculosum, Radix spp, Salmo salar"
Olga,Aksenova,0000-0002-0817-7105,Russian Federation,"Bivalvia, Gastropoda, Lymnaeidae, Margaritifera, Margaritiferidae, Radix spp, Salmoniformes, Sphaeriidae, Sphaerium, Thymallidae, Thymallus thymallus, Unionoida"
Mustafa,Akyol,0000-0002-3466-7618,,"Acari, Camerobiidae, Tycherobius"
Adeyinka,Aladesida,0000-0002-8950-7347,Nigeria,""
Jalil,Alavi,0000-0001-7116-4051,,"Aeolothripidae, Aeolothrips, Aeolothrips eremicola, Dendrothripinae, Eryngyothrips, Insecta thysanoptera aeolothripidae, Mycterothrips, Thripidae, Thysanoptera"
David M.,Alba,0000-0002-8886-5580,,"Albanosmilus jourdani, Anchitherium, Anchomomys, Anguimorpha, Artiodactyla, Australopithecus afarensis, Australopithecus africanus, Azanza, Barbourofelidae, Barbourofelini, Bovidae, Carnivora, Cercopithecidae, Chalicomys, Cheirogaster, Cheirogaster richardi, Crocodylia, Diplocynodon, Dorcatherium naui, Dryopithecus, Dryopithecus fontani, Dugongidae, Egarapithecus narcisoi, Epipliopithecus, Epipliopithecus vindobonensis, Equidae, Erinaceidae, Felidae, Geoemydidae, Guardiola, Hispanopithecus, Hispanopithecus laietanus, Hominidae, Hominoidea, Hyaenidae, Lantanotherium, Lynx pardinus, Macaca, Macaca sylvanus florentina, Machairodus aphanistus, Mammalia, Mesopithecus, Mustelidae, Oreopithecus, Oreopithecus bambolii, Orrorin tugenensis, Pierolapithecus, Pierolapithecus catalaunicus, Plesiopliopithecus lockeri, Pliocrocuta perrieri, Pliopithecidae, Pliopithecoidea, Pliopithecus, Pliopithecus antiquus, Pseudaelurus, Ruminantia, Sansanosmilus jourdani, Sirenia, Temnoclemmys, Testudines, Testudinidae, Testudo lunellensis, Tethytragus, Tragulidae, Varanidae, Varanus"
Paolo Giulio,Albano,0000-0001-9876-1024,,"Anadara demiri, Arcidae, Argyrotheca cuneata, Bivalvia, Brachiopoda, Brachipoda, Buccinulum corneum, Bulgarica denticulata, Cerithiidae, Cerithium scabridum, Decapoda, Eastonia rugosa, Echinolittorina punctata, Echinolittorina punctata (mollusca, Ensis directus, Galathea strigosa, Galatheidae, Gastrochaenidae, Gastropoda, Gryphus vitreus, Joania cordata, Littorinidae, Megathyrididae, Mimachlamys varia, Mollusca, Muricidae, Ocinebrina aciculata, Olbia, Posidonia oceanica, Pterocera kochii, Strombidae, Unionida, Zoologia"
Rodolpho,Albano,0000-0002-0643-901X,Brazil,"(Leishmania) amazonensis, Achatina fulica, Achromobacter, Achromobacter ruhlandii, Achromobacter xylosoxidans, Acinetobacter, Acinetobacter baumannii, Acinetobacter pittii, Acinetobacter spp, Acinetobacter towneri, Araruama, Archaea, B. ambifaria, B. multivorans, B. vietnamiensis, Bothrops jararaca, Burkholderia cenocepacia, Burkholderia cepacia, Burkholderia multivorans, Burkholderia pseudomallei, Burkholderia vietnamiensis, Caretta caretta, Chalinidae, Cheloniidae, Chikungunya, Chordata, Cornitermes cumulans, Coxiella, Demospongiae, Diptera, Enterobacter hormaechei, Enterobacteriaceae, Escherichia coli, Gluconacetobacter diazotrophicus, Halichondrida, Haliclona, Haliclona vansoesti, Haloferax gibbonsii, Haplosclerida, Helicobacter pylori, Isoptera, Klebsiella pneumoniae, Leishmania (Leishmania) amazonensis, Lutzomyia longipalpis, Mussismilia hispida, Mycobacterium tuberculosis, Paenibacillus cineris, Periplaneta americana, Piaractus mesopotamicus, Pichia pastoris, Porifera, Providencia rettgeri, Pseudomonas, Pseudomonas aeruginosa, Psychodidae, Pterodon pubescens, Rhipicephalus microplus, Siderastrea stellata, Staphylococcus aureus, Streptomyces, Styela plicata, Termitidae, Testudines, Thermomyces lanuginosus, Tunicata, Wohlfahrtiimonas chitiniclastica, Xenopus"
Bruno,Albert Navarro,0000-0002-0528-5389,Brazil,""
Luis,Alcalá,0000-0002-6369-6186,Spain,"Allosauroidea, Antilopinae, Aragosaurus, Bovidae, Carnivora, Equidae, Felidae, Hipparion, Hipparion primigenium, Hipparionini, Homo sapiens, Iguanodon, Indarctos, Machairodontinae, Mammalia, Microstonyx, Mustelidae, Paramachaerodus, Perissodactyla, Promegantereon ogygia, Smilodontini, Suidae, Taenidium, Ursidae"
Josep Antoni ,Alcover,0000-0001-9905-2588,,"Artiodactyla, Aves, Buxus, Canariomys bravoi, Caprinae, Carnivora, Crocidura russula, Emydidae, Emys orbicularis, Fringillidae, Gruiformes, Hypnomys morpheus, Hypolagus, Hypolagus balearicus, Hystrichopsyllidae, Insecta, Lacertidae, Lagomorpha, Malpaisomys insularis, Mammalia, Martes, Muridae, Mus musculus, Mustela nivalis, Mustelidae, Myotragus, Myotragus balearicus, Nesiotites, P. puffinus, Procellariiformes, Puffinus holeae, Puffinus olsoni, Pyrrhula, Rallidae, Rallus minutus, Rallus nanus, Rhadinopsylla (Rhadinopsylla) eivissensis, Rodentia, Serpentes, Siphonaptera, Soricidae, Squamata, Strigidae, Strigiformes, Testudines, Tyto alba, Tytonidae, Vipera, Viperidae"
Alexandre,Aleixo,0000-0002-7816-9725,,"Amazonia, Amazônia brasileira, Andigena, Aulacorhynchus “prasinus” toucanet, Aves, Avifauna da região, Bucconidae, Campylorhamphus procurvoides successor, Campylorhamphus trochilirostris notabilis, Cardinalidae, Cebus, Certhiasomus, Cnipodectes superrufus, Crax fasciolata, Dendrexetastes rufigula, Dendrocolaptidae, Dendroplex (Xiphorhynchus) necopinus, Dendrornis kienerii, Derocolaptidae, Donacobius, Furnariidae, Glyphorynchus spirurus, Hylophylax, Implicações biogeográficas, Lista anotada, Lista comentada das, Malacoptila, Megascops, Myrmeciza hemimelaena, Passeriformes, Phoenicoparrus jamesi, Phoenicopteriformes, Picidae, Pipile jacutinga, Pipridae, Polioptila guianensis, Polioptilidae, Primeiros registros, Psophia interjecta, Psophidae, Pteroglossus araçaris, Ramphastidae, Ramphastos, Sapajus, Selenidera, Strigidae, Synallaxis whitneyi, Thamnophilidae, Thamnophilus aethiops, Trochilidae, Turdidae, Turdus ignobilis, Willisornis poecilinotus, Xiphorhynchus, Xiphorhynchus chunchotambo, Xiphorhynchus picus kienerii, Xiphorhynchus woodcreepers"
Vladimir,Aleoshin,0000-0002-3299-9950,,"Aeshna squamata, Alveolata, Alveolates, Amphiamblys, Ancora sagittata, Anoplostoma rectospiculum, Anoplostomatidae, Aphelidea, Apicomplexa, Bacillus subtilis, Brachyuropus grewingkii, Calopteryx splendens, Cephaloidophora, Cephalorhyncha, Cercozoa, Chaetonotida, Chytridiomycetes, Colpodella edax, Colpodellids (Alveolata), Colponema vietnamica, Corynebacterium glutamicum, Enoplida, Enoploidea, Escherichia coli, Eugregarinida, Eukaryotes, Eulimnogammarus vittatus, Gastrotricha, Gymnophrys cometa, Heliospora, Heliozoa, Hexapoda, Hyperparasitic, Insecta, Intoshia linei, Lactobacillus, Lactobacillus fermentum, Lecythium, Macrodasyida, Mesozoa, Metazoa, Metchnikovellidae, Microsporidian, Nematoda, Odonata, Oncholaimoidea, Orthonectida, Pancrustacea, Pelomyxa palustris, Percolomonas cosmopolitus, Placozoa, Pseudomonas aeruginosa, Rhopalura ophiocomae, Soboliphyme baturini, Travisia forbesii, Trefusiidae, Trichoplax, U. travisiae, Urospora ovalis"
Kaio,Alevi,0000-0001-8333-3764,,"Brasiliensis subcomplex, Cavernicola pilosa, Coreidae, Diptera, Drosophilidae, Hemiptera, Heteroptera, Maculata subcomplex, Martarega brasiliensis, Myrmeleon uniformis, Myrmeleontidae, Nesotriatoma bruneri, Neuroptera, Notonectidae, Pachycoris torridus, Pachylis laticornis, R. prolixus, Reduviidae, Rhodniini, Rhodnius, Rhodnius neglectus, Scutelleridae, T. brasiliensis, T. lenti, T. rubrovaria, T. sherlocki, T. vitticeps, Testudines, Testudinidae, Triatoma, Triatoma arthurneivai, Triatoma bahiensis, Triatoma baratai, Triatoma brasiliensis, Triatoma infestans, Triatoma lenti, Triatoma melanica, Triatoma melanocephala, Triatoma platensis, Triatoma pseudomaculata, Triatoma rubrofasciata, Triatoma sherlocki, Triatoma sordida, Triatoma vandae, Triatoma vitticeps subcomplex, Triatoma williami, Triatoma wygodzinskyi, Triatominae, Zaprionus"
Steve,Alexander,0000-0003-4417-497X,United Kingdom of Great Britain and Northern Ireland,""
Michael,Alfaro,0000-0002-8898-8230,,"Acanthomorpha, Acanthuridae, Alloherpesviridae, Anguilliformes, Aracanidae, Balistidae, Bodianus, Callitrichidae, Cebus, Cerberus rynchops, Cetoscarus bicolor, Characiformes, Colubridae, Colubroidea, Gasterosteus aculeatus, Homalopsidae, Homalopsinae, Iridoviridae, Labridae, Monacanthidae, Odacini, Ostraciidae, Perciformes, Percomorpha, Pomacentridae, Regina, Saimiri, Sapajus, Scarus iseri, Serpentes, Syngnathiformes, Teleostei, Tetraodontidae, Tetraodontiformes"
Mac,Alford,0000-0002-3448-9735,United States of America,"Allocapnia, Allocapnia polemistis, Asteraceae, Blyxa aubertii, Brassicales, Bryophyllum daigremontianum, Bryophyllum delagoense, Capniidae, Casearia, Commelina, Commelinaceae, Crassulaceae, Dipentodon, Flacourtiaceae, Gamochaeta, Gerrardina, Gnaphalieae, Hasseltia, Heptapteridae, Huertea, Huerteales, Hydrocharitaceae, Laetia, Malvales, Neosprucea, Perrottetia, Plecoptera, Rhamdia, Salicaceae, Samyda, Sapindales, Siluriformes, Tapiscia"
Donis da Silva,Alfredo,0000-0002-8611-7909,Brazil,"Agaricaceae, Agaricales, Agaricomycetes, Basidiomycota, Boletales, Calvatia nodulata, Geastraceae, Geastrales, Micromorpha, Morganella, Morganella arenicola, Morganella nuda, Mycenastrum catimbauense, Myriostoma coliforme, Nuevos registros, PHALLOMYCETIDAE, Phallomycetidae, Scleroderma minutisporum, Sclerogaster luteocarneus"
Haidar,Ali,0000-0002-5994-8117,Pakistan,""
Junaid ,Ali,0000-0001-6626-2626,Pakistan,"Hymenoptera, Vespidae, Vespula"
Gianni,Allegro,0000-0002-5079-6671,,"Agraphoderus, Anoplophora chinensis, Anoplophora glabripennis, B. bombonensis, Blennidus, Blennidus (Agraphoderus), Carabidae, Cerambycidae, Coleoptera, Curculionidae, Lamiinae, Medicago scutellata, Megaplatypus mutatus, Oxytrechus, Platypodinae, Platypus mutatus, Psacothea hilaris, Pterostichinae, SABBATINI"
Kaitlin,Allen,0000-0002-0894-4036,,"Scincidae, Sphaerodactylidae, Squamata, Trachylepis"
Frederico,Almada,0000-0002-1389-8951,Portugal,"Atherina, Atherina presbyter, Blenniidae, Centrolabrus caeruleus, Centrolabrus trutta, Ciliata mustela, Felimare picta, Gadidae, Gaidropsarus mediterraneus, Gastropoda, Gobiesocidae, Halobatrachus didactylus, Labridae, Labrus bergylta, Lepadogaster, Lepadogaster candollei, Lepadogaster lepadogaster, Linnaeus, Lipophrys pholis, Nudibranchia, Parablennius parvicornis, Parablennius ruber, Parablennius sanguinolentus, Symphodus melops, Taurulus bubalis, Teleostei"
Eduardo,Almeida,0000-0001-6017-6364,Brazil,"Apidae, Apiformes, Apini, Apoidea, Augochlorini, Chrysididae, Colletidae, Diomalopsis, Diptera, Euglossa decorata, Exomalopsis, Halictidae, Hoplocolletes ventralis, Hymenoptera, Ipsiura, Muscidae, Neopasiphaeinae, Paracolletinae, Pseudaugochlora, Spinola, Tetraglossula, Xeromelissinae"
Eduardo,Almeida,0000-0001-8219-0968,Brazil,""
Salomé,Almeida,0000-0001-7240-7967,Portugal,"Bacillariophyceae, F. capucina, F. intermedia, F. neointermedia, F. perminuta, Fragilaria, Fragilariales, Fragilariophyceae, Gomphonema, Gomphonema clevei, Navicula libonensis, Nitzschia palea, P. acidophila, P. acoricola, Pinnularia, Tabellaria flocculosa"
Ana Carolina,Almeida,0000-0003-4899-1483,Brazil,"Adeonidae, Bryozoa, Bryozoa heilostomata, Cheilostomata, Colatooeciidae, Echinodermata, Gymnolaemata bryozoans, Inovicellina, Malacostegina, Ophiothrix angulata, Ophiotrichidae, Ophiuroidea, Phidoloporidae, Thalamoporellina, Triphyllozoon"
Rubim,Almeida da Silva,0000-0003-4959-0147,Portugal,"Alismataceae, Asparagaceae, Asteraceae, Baldellia, Brimeura, Buxus sempervirens, Cantharidae, Coleoptera, Dicomeae, Hyacinthaceae, Natrix, Ononis, Rhagonycha, Scilla, Scilla verna, Scilloideae, Silene scabriflora, Taraxacum"
Ruqayah,Alnomani,0000-0001-6897-0060,Iraq,""
Oscar,Alomar,0000-0002-8756-871X,,"Aleyrodidae, Anthocoridae, Aphelinidae, Aphelinus abdominalis, Aphididae, Aphis gossypii, Bemisia tabaci, Dicyphus hyalinipennis, Dicyphus tamaninii, Diptera, Encarsia formosa, Encarsia pergandiella, Hemiptera, Heteroptera, Homoptera, Hymenoptera, Intraguild, Macrolophus, Macrolophus caliginosus, Macrolophus melanotoma, Macrolophus pygmaeus, Macrosiphum euphorbiae, Miridae, Nabidae, Nesidiocoris tenuis, Orius, Orius insidiosus, Orius majusculus, Sitophilus oryzae, Syrphidae, Trialeurodes vaporariorum, Tribolium confusum"
M. Angeles,Alonso-Vargas,0000-0003-3768-9203,Spain,"Amaranthaceae, Archaea, Asteraceae, Biscutella, Biscutella boetica, Biscutella didyma, Biscutella raphanifolia, Brassicaceae, Chenopodiaceae, Cistaceae, Cistus origanifolius, Fabaceae, Heliantheae, Helianthemum, Helianthemum caput-felis, Helianthemum origanifolium, Hypericaceae, Hypericum ericoides, Iridaceae, Labiatae, Lamiaceae, Limniris, Limonium, Magnoliopsida, Ononis tridentata, Plumbaginaceae, Pseudo-iris, Puccinellia, Sarcocornia, Sarcocornia fruticosa, Sarcocornia perennis, Senecio auricula, Silene hifacensis, Suaeda, Suaeda neuquenensis, T. pentandra, Tamaricaceae, Tamarix, Tamarix dalmatica, Tamarix hohenackeri, Tamarix minoa, Tamarix ramosissima, Teucrium, Verbesina encelioides, Verbesininae, Violales, Ximenesia encelioides, Xiphion"
Miguel Angel,Alonso-Zarazaga,0000-0002-6991-0980,,"Anaspidesidae, Anaspididae"
Sergio,Aloquio,0000-0003-2361-6943,Brazil,""
Per,Alström,0000-0001-7182-2763,Sweden,"A. fuliginosus, A. petrosus, A. roseatus, A. rubescens, Acrocephalidae, Acrocephalus, Acrocephalus agricola tangorum, Aegithalos, Aegithalos bonvaloti, Alaudidae, Anthus berthelotii, Anthus godlewskii, Anthus hodgsoni, Anthus spinoletta, Aves, Bradypterus thoracicus, C. pectardens, Calamoherpe ambigua, Calandrella, Calidris ruficollis, Calliope obscura, Catharus, Cettia, Cettia acanthizoides, Cettiidae, Charadriiformes, Charadrius mongolus, Chlidonias, Cisticolidae, Cyornis, Emberiza, Emberizini, Ficedula, Ficedula narcissina, Geomalia heinrichi, Graminicola bengalensis, Hemitesia neumanni, Heteromirafra, Himalaya, Lanius excubitor, Larus philadelphia, Larvivora ruficeps, Locustella mandelli, Locustellidae, Megaluridae, Mirafra assamica, Motacilla alba, Motacilla samveasnae, Muscicapa ruficauda, Muscicapidae, Niltavinae, Non-monophyletic, P. atrogularis, Passeriformes, Passeriformes): major, Phylloscopus, Phylloscopus affinis, Phylloscopus borealis, Phylloscopus goodsoni, Phylloscopus proregulus, Phylloscopus proregulus kansuensis, Phylloscopus reguloides, Phylloscopus subaffinis, Phylloscopus subaffinis arcanus, Prunella modularis, Prunella ocularis, Scotocerca inquieta, Seicercus, Sylvia curruca, Sylviidae, Sylvioidea, Tichodroma muraria, Turdidae, Turdus, Zoothera, Zoothera mollissima"
 Huda ,Altameme,0000-0001-6751-8099,Iraq,"Anethum graveolens, Artemisia annua, Brassicaceae, Capparidaceae, Capparis spinosa, Cinnamomum, Frankenia, Frankenia pulverulenta, Frankeniaceae, Origanum vulgare, Urtica dioica"
Marco,Altamirano-Benavides,0000-0002-3082-8103,,"Colubroidea, Dipsadidae, Gymnophthalmidae, Hemidactylus frenatus, Philodryas, Potamites, Squamata, Xenodontinae"
Andreas,Altenburger,0000-0001-5258-8043,,"A. cistellula, Argyrotheca cordata, Brachiopod, Brachiopoda, Craniiformea, Cyclorhagida, Kinorhyncha, Mesodinium rubrum, Novocrania anomala, Protozoa, Pseudomonas, Pycnophyes kielensis, Terebratalia transversa, Zelinkaderes"
Roman,Alther,0000-0001-7582-3966,Switzerland,"Amphipoda, Chironomidae, Crustacea"
Gastón,Alurralde,0000-0002-0332-3978,Argentina,Corella eumyota
Rafael,Álvarez,0000-0002-1814-0293,Spain,"Alophia combustella, Anacardiaceae, Anura, Aphididae, Arabidopsis thaliana, Baizongia pistaciae, Bryonia, Cernuella (Xeromagna) cespitum arigonis, Dicrocoelium dendriticum, Eriosoma ulmi, Eriosomatinae, Forda formicaria, Forda marginata, Fordini, Gastropoda, Geoica utricularia, Geopemphigus, Haliotidae, Haliotis tuberculata, Hemiptera, Mollusca, Paracletus cimiciformis, Perezi, Pistacia, Pistacia mexicana, Pistacia palaestina, Pistacia terebinthus, Plantago, Quercus, Rana perezi, Rana temporaria, Ranidae, Rectinasus, Rubus, Salmo trutta, Scophthalmus maximus, Stylosanthes guianensis, Taraxacum, Tetraneura ulmi, Trematoda, Ulmus minor"
